Rank,data » name,Ticker,Coingecko ID,Key Person,USP,Economic Purpose,,Issuer Industry,,Technological Setup,,Legal Claim,,Issuer Type,,Regulatory Status EU,,Mode of Origination,,Type of Maximum Supply,,Consensus Mechanism,,Tax,,Multi Chain (Y/N)
270,WHALE,WHALE,whale,,,,,,,,,,,,,,,,,,,,,,,
271,Function X,FX,fx-coin,,,,,,,,,,,,,,,,,,,,,,,
272,Alchemix,ALCX,alchemix,,,,,,,,,,,,,,,,,,,,,,,
273,Coin98,C98,coin98,,,,,,,,,,,,,,,,,,,,,,,
274,Yield Guild Games,YGG,yield-guild-games,,,,,,,,,,,,,,,,,,,,,,,
275,Illuvium,ILV,illuvium,,,,,,,,,,,,,,,,,,,,,,,
276,Rari Governance Token,RGT,rari-governance-token,,,,,,,,,,,,,,,,,,,,,,,
277,PEAKDEFI,PEAK,marketpeak,,,,,,,,,,,,,,,,,,,,,,,
278,Bifrost (BFC),BFC,bifrost,,,,,,,,,,,,,,,,,,,,,,,
279,Alchemy Pay,ACH,alchemy-pay,,,,,,,,,,,,,,,,,,,,,,,
280,Adventure Gold,AGLD,adventure-gold,,,,,,,,,,,,,,,,,,,,,,,
281,IDEX,IDEX,aurora-dao,,,,,,,,,,,,,,,,,,,,,,,
282,PlayDapp,PLA,playdapp,,,,,,,,,,,,,,,,,,,,,,,
283,AllianceBlock,ALBT,allianceblock,,,,,,,,,,,,,,,,,,,,,,,
284,ApeSwap Finance,BANANA,apeswap-finance,,,,,,,,,,,,,,,,,,,,,,,
285,Automata Network,ATA,automata,,,,,,,,,,,,,,,,,,,,,,,
286,Verasity,VRA,verasity,,,,,,,,,,,,,,,,,,,,,,,
287,Radicle,RAD,radicle,,,,,,,,,,,,,,,,,,,,,,,
288,CEEK VR,CEEK,ceek,,,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
289,Dusk Network,DUSK,dusk-network,,,,,,,,,,,,,,,,,,,,,,,
290,Dvision Network,DVI,dvision-network,,,,,,,,,,,,,,,,,,,,,,,
291,Phantasma,SOUL,phantasma,,,,,,,,,,,,,,,,,,,,,,,
292,Spell Token,SPELL,spell-token,,,,,,,,,,,,,,,,,,,,,,,
293,UFO Gaming,UFO,ufo-gaming,,,,,,,,,,,,,,,,,,,,,,,
294,Radio Caca,RACA,radio-caca,,,,,,,,,,,,,,,,,,,,,,,
295,Boba Network,BOBA,boba-network,,,,,,,,,,,,,,,,,,,,,,,
296,MetisDAO,METIS,metis-token,,,,,,,,,,,,,,,,,,,,,,,
297,Starlink,STARL,starlink,,,,,,,,,,,,,,,,,,,,,,,
298,OpenDAO,SOS,opendao,,,,,,,,,,,,,,,,,,,,,,,
299,Veritaseum,VERI,veritaseum,,,,,,,,,,,,,,,,,,,,,,,
300,Vulcan Forged PYR,PYR,vulcan-forged,,,,,,,,,,,,,,,,,,,,,,,
301,RMRK,RMRK,rmrk,,,,,,,,,,,,,,,,,,,,,,,
302,Braintrust,BTRST,braintrust,,,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
303,Wilder World,WILD,wilder-world,,,,,,,,,,,,,,,,,,,,,,,
304,HyperDAO,HDAO,hyperdao,,,,,,,,,,,,,,,,,,,,,,,
305,Qredo,QRDO,qredo,,,,,,,,,,,,,,,,,,,,,,,
306,Humanscape,HUM,humanscape,,,,,,,,,,,,,,,,,,,,,,,
307,Circuits of Value,COVAL,circuits-of-value,,,,,,,,,,,,,,,,,,,,,,,
308,MX TOKEN,MX,mx-token,,,,,,,,,,,,,,,,,,,,,,,
309,Merit Circle,MC,merit-circle,,,,,,,,,,,,,,,,,,,,,,,
310,Wrapped NCG (Nine Chronicles Gold),WNCG,wrapped-ncg,,,,,,,,,,,,,,,,,,,,,,,
311,ConstitutionDAO,PEOPLE,constitutiondao,,,,,,,,,,,,,,,,,,,,,,,
312,MXC,MXC,mxc,,,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
313,Chainbing,CBG,chainbing,,,,,,,,,,,,,,,,,,,,,,,
314,ICHI,ICHI,ichi-farm,,,,,,,,,,,,,,,,,,,,,,,
315,VVS Finance,VVS,vvs-finance,,,,,,,,,,,,,,,,,,,,,,,
316,Aurora,AURORA,aurora-near,,,,,,,,,,,,,,,,,,,,,,,
317,Beta Finance,BETA,beta-finance,,,,,,,,,,,,,,,,,,,,,,,
318,Maple,MPL,maple,,,,,,,,,,,,,,,,,,,,,,,
319,API3,API3,api3,,,,,,,,,,,,,,,,,,,,,,,
320,1eco,1ECO,1eco,,,,,,,,,,,,,,,,,,,,,,,
321,Wirex Token,WXT,wirex,,,,,,,,,,,,,,,,,,,,,,,
322,Threshold,T,threshold-network-token,,,,,,,,,,,,,,,,,,,,,,,
323,LooksRare,LOOKS,looksrare,,,,,,,,,,,,,,,,,,,,,,,
324,AVINOC,AVINOC,avinoc,,,,,,,,,,,,,,,,,,,,,,,
325,Project Galaxy,GAL,project-galaxy,,,,,,,,,,,,,,,,,,,,,,,
326,DEAPcoin,DEP,deapcoin,,,,,,,,,,,,,,,,,,,,,,,
327,XSGD,XSGD,xsgd,,,,,,,,,,,,,,,,,,,,,,,
328,Liquity,LQTY,liquity,,,,,,,,,,,,,,,,,,,,,,,
329,Locus Chain,LOCUS,locus-chain,,,,,,,,,,,,,,,,,,,,,,,
330,Propy,PRO,propy,,,,,,,,,,,,,,,,,,,,,,,
331,Origin Dollar,OUSD,origin-dollar,,,,,,,,,,,,,,,,,,,,,,,
332,STP,STPT,stp-network,,,,,,,,,,,,,,,,,,,,,,,
333,Terran Coin,TRR,terran-coin,,,,,,,,,,,,,,,,,,,,,,,
334,Ribbon Finance,RBN,ribbon-finance,,,,,,,,,,,,,,,,,,,,,,,
335,DeXe,DEXE,dexe,,,,,,,,,,,,,,,,,,,,,,,
336,HI,HI,hi-dollar,,,,,,,,,,,,,,,,,,,,,,,
337,Axelar,AXL,axelar,,,,,,,,,,,,,,,,,,,,,,,
338,Hashflow,HFT,hashflow,,,,,,,,,,,,,,,,,,,,,,,
339,Ethereum,ETH,ethereum,,"Ethereum is a global, open-source platform for decentralized applications.",EEP22TU01,Settlement Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT62DL,Distributed Ledger Protocol,REU51UT,Utility Token,EMO91,Reward,EMS82IF,Inflationary,TCM71PW,Proof of Work,RTA72,New Asset Token,N
340,Binance Coin,BNB,binancecoin,,The native token of the Binance cryptocurrency exchange.,EEP22TU02,Settlement and Access Token,EIN06EX,"Exchange, Trading and Settlement",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF03,Other BFT (Tendermint),RTA72,New Asset Token,Y
341,Binance USD,BUSD,binance-usd,Marlene,Highly regulated 1:1 USD-backed crypto stablecoin.,EEP21PP01USD,USD-Pegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS42BN01,Binance BEP-2 Standard Token,LLC32,Relative Rights Token,LIT61PV,Private Sector Legal Entity,REU51EM12,Non-Authorized Significant E-Money Token,EMO92,Sale,EMS82DC,Discretionary,Depends on the ledger,Depends on the ledger,RTA71,Conventional Asset Tokens,Y
342,Bitcoin Cash,BCH,bitcoin-cash,Albert,Cheaper and faster version of Bitcoin.,EEP21UP,Unpegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT62DL,Distributed Ledger Protocol,REU51ZZ,Other In-Scope Crypto Asset,EMO91,Reward,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
343,Polygon,MATIC,matic-network,Nick,Ethereum's Internet of Blockchains.,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PS,Proof of Stake,RTA72,New Asset Token,N
344,Crypto.com Coin,CRO,crypto-com-chain,Aavneet,Buy crypto at true cost.,EEP22TU02,Settlement and Access Token,EIN06EX,"Exchange, Trading and Settlement",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF03,Other BFT (Tendermint),RTA72,New Asset Token,N
345,Holo,HOT,holotoken,Albert,"Holochain delivers the promises of blockchain with a mashup of proven tech that provides self-owned data, a distributed database, and peer accountability.",EEP22TU01,Settlement  Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Deflationary,TCM73GP02,Other DAG,RTA72,New Asset Token,Y
346,Fantom,FTM,fantom,Albert,DAG-based smart contract platform for DeFi services,EEP22TU03,Settlement and Governance Token,EIN06DF05,Other Decentralized Finance (DeFi),TTS41DG,DAG-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72ZZ,Other Hybrid,RTA72,New Asset Token,Y
347,Ankr,ANKR,ankr,Marlene,Web 3.0 infrastructure - Blockchain nodes & APIs,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,Y
348,SKALE Network,SKL,skale,Albert,,EEP22TU02,Settlement and Access Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ET99,Other Ethereum Application Layer Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM71PS,Proof of Stake,RTA72,New Asset Token,N
349,Storj,STORJ,storj,Nick,Decentralized cloud data storage that aims to be more efficient than centrelized cloud computing,EEP22TU01,Settlement Token,EIN05DA05,"Other Software, Data Storage and Processing",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM71ZZ,Other Proof based,RTA72,New Asset Token,N
350,Stratis,STRAX,stratis,Prashant,,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Inflationary,TCM71PS,Proof of Stake,RTA72,New Asset Token,N
351,Prometeus,PROM,prometeus,Jan,Celebrities can create their own coin which then shall gives followers a means for interaction with their favourite celebrities.,EEP22TU02,Settlement and Access Token,EIN05DA03,Media and Social Media,TTS42BN02,Binance BEP-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Delegated Proof of Stake,RTA72,New Asset Token,Y
352,Fetch.ai,FET,fetch-ai,Aavneet,"Building an open access, tokenized, decentralized machine learning network to enable smart infrastructure built around a decentralized digital economy.",EEP22TU03,Settlement and Governance Token,EIN05DA01,"Artificial Intelligence (AI), Predictive Analytics, and Big Data",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Inflationary,TCM73BF03,Other BFT (Tendermint),RTA72,New Asset Token,N
353,Band Protocol,BAND,band-protocol,Prashant,Band Protocol is a cross-chain data oracle platform that aggregates and connects real-world data and APIs to smart contracts.,EEP22TU03,Settlement and Governance Token,EIN05MS,"Decentralized Data, Oracles and Infrastructure",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF03,Other BFT (Tendermint),RTA72,New Asset Token,Y
354,Reef,REEF,reef,Marlene,"Blockchain for DeFi, NFT & Gaming",EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ZZ,Other Application Layer Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Inflationary,Depends on the ledger,Depends on the ledger,RTA72,New Asset Token,Y
355,Uquid Coin,UQC,uquid-coin,Magda,UQC is a decentralized virtual currency based on the ERC20 Token,EEP22TU02,Settlement and Access Token,EEP22TU02,Other Decentralized Finance (DeFi),EIN06DF05,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS80,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
356,Cartesi,CTSI,cartesi,Jan,Cartesi offers a bridge between standard programming and blockchain,EEP22TU02,Settlement and Access Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PS,Proof of Stake,RTA72,New Asset Token,Y
357,Serum,SRM,serum,Albert,DEX & DeFi ecosystem build on Solana,EEP22TU03,Settlement and Governance Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ZZ,Other Application Layer Token,LLC31,No-Claim Token,LIT62AL,Application Layer Protocol,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Deflationary,TCM72ZZ,Other Hybrid,RTA72,New Asset Token,Y
358,NKN,NKN,nkn,Aavneet,"NKN, or New Kind of Network, is an open-source protocol for public blockchain-based peer-to-peer Networks to share network bandwidth and Internet connectivity.",EEP22TU03,Settlement and Governance Token,EIN05DA02,"Internet of Things (IoT), Smart Infrastructures, and Connectivity",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
359,Celer Network,CELR,celer-network,Albert,"layer-2 scaling platform that brings fast, secure and low-cost blockchain applications on Ethereum, Polkadot and other blockchains to mass adoption",EEP22TU02,Settlement and Access Token,EIN06DF05,Other Decentralized Finance (DeFi),TTS42ZZ,Other Application Layer Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Delegated Proof of Stake,RTA72,New Asset Token,Y
360,Divi,DIVI,divi,Nick,Divi wants to make crypto mass adopted by providing a user friendly interface called divi app to exchange and stake tokens,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO93,Reward,EMS82IF,Inflationary,TCM72DS,Proof of Stake,RTA72,New Asset Token,N
361,Mirror Protocol,MIR,mirror-protocol,Marlene,Enabling the creation of synthetic assets,EEP22TU03,Settlement and Governance Token,EIN06DF03,"Decentralized Derivatives, Syntethic Assets and Insuarance",TTS42ZZ,Other Application Layer Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO93,Airdrop,EMS81,Fixed,TCM73BF03,Other BFT (Tendermint),RTA72,New Asset Token,Y
362,Clover Finance,CLV,clover-finance,Nick,Cross chain interoperability,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ZZ,Other Application Layer Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM72ZZ,Other Hybrid,RTA72,New Asset Token,Y
363,Audius,AUDIO,audius,Albert,Solana-based decentralized music streaming protocol,EEP22TU03,Settlement and Governance Token,EIN08AC,Arts and Culture,TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PS,Proof of Stake,RTA72,New Asset Token,Y
364,CENNZnet,CENNZ,centrality,Natalie,CENNZnet is a New Zealand built public blockchain and Application platform that puts great user experience first.,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PS,Proof of Stake,RTA72,New Asset Token,N
365,Render Token,RNDR,render-token,Natalie,"RNDR is a distributed GPU rendering network built on top of the Ethereum blockchain, aiming to connect artists and studios in need of GPU compute power with mining partners willing to rent their GPU capabilities out.",EEP22TU03,Settlement and Governance Token,EIN01,Agriculture and Mining,,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof-of-Work,RTA72,New Asset Token,N
366,Polymath,POLY,polymath,Nick,"Polymath is the first decentrelized network, specialized for security tokenization.",EEP22TU03,Settlement and Governance Token,EIN06BS,"Banking, Custody and Financing Services",,,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM72DS,Proof-of-Work,RTA72,New Asset Token,N
367,Everipedia,IQ,everipedia,Marlene,The Blockchain Encyclopedia,EEP22TU02,Settlement and Access Token,EIN09,"Public Administration, Education, Healthcare and Social Assistance",TTS42EO,EOS Application Layer Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO93,Airdrop,EMS81,Fixed,TCM72DS,Delegated Proof of Stake,RTA72,New Asset Token,Y
368,aelf,ELF,aelf,Magda,"aelf is the most advanced and secure blockchain cloud infrastructure with segregate, unlimitedly scalable cloud computing networks, leading the decentralized future.",EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,"
TCM72DS",Delegated Proof of Stake,RTA72,New Asset Token,Y
369,Elitium,EUM,elitium,Magda,"The platform offers a basket of products, including decentralized finance (DeFi) savings plans, cryptocurrency staking, Bitcoin and Ethereum cloud mining services, and a dedicated NFT marketplace.",EEP22TU01,Settlement Token,EIN06DF04,"Decentralized Data, Oracles and Infrastructure",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM71PS,Proof of Stake,RTA72,New Asset Token,N
370,BORA,BORA,bora,Albert,,EEP22TU01,Settlement Token,EIN08ES,"Entertainment, Sports and Gaming",TTS42ZZ,Other Application Layer Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF03,Other BFT,RTA72,New Asset Token,N
371,Velas,VLX,velas,Magda,Valas Finance stock is currently PancakeSwap (V2).,EEP22TU02,Settlement and Access Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42BN02,Binance BEP-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Inflationary,TCM71ZZ,Other Proof based,RTA72,New Asset Token,N
372,XinFin Network,XDC,xdce-crowd-sale,Marlene,Enterprise Blockchain For Global Trade and Finance,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Fixed,TCM71ZZ,Other Proof based,RTA72,New Asset Token,N
373,Egoras,EGR,empty,Nick,Egoras is a micro-financing platforrm that offers non-colletorized credits to smaller firms.,EEP22TU03,Settlement and Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EM81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
374,The Transfer Token,TTT,empty,Jan,We provide the best rates for overseas remittance and foreign currency exchange.,EEP22TU02,Settlement and Access token,EIN06EX,"Exchange, Trading and Settlement",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
375,INO COIN,INO,empty,Nick,INO Coin is a decentrelized crowdfunding platform for Crypto oriented fundings like ICOs with its INO token governing the system,EEP22TU03,Settlement and Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
376,Venus BNB,vBNB,empty,Magda,The native token of the Binance cryptocurrency exchange.,EEP22TU01,Settlement Token,EIN06DF05,Other Decentralized Finance (DeFi),TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO94,Wrapping,EMS82DC,Discretionary,TCM71PS,Proof of Stake,RTA72,New Asset Token,N
377,Doctors Coin,DRS,empty,Magda,MEDICAL BEAUTY INFLUENCERS BEYOND BORDERS,EEP22TU01,Settlement Token,EIN05MS,Media and Social Media,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
378,Rakon,RKN,empty,Nick,"Raken network aims to provide a decentrelized alternative for satellites, navigation and communication systems with RKN powering their smart contracts.",EEP22TU03,Settlement and Governance Token,EIN05TC,Telecommunications and Communications,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM72DS,Proof-of-Work,RTA72,New Asset Token,N
379,CRYPTO20,C20,empty,Aavneet,The world's first tokenized crypto index fund.,EEP23FD,Fund Token,EIN06AM,Investment and Asset Management,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
